,Structure,HADDOCK_Score,Evdw,Eelec,Edesolv,Total_Energy,Run_Name,Run_ID
502,complex_38w.pdb,-57.8972,-11.3728,-506.928,2.8098,-515.491,Terminal Fold2,668631-terminal_fold2
503,complex_48w.pdb,-49.3641,-16.2524,-273.969,4.28565,-285.93575000000004,Terminal Fold2,668631-terminal_fold2
504,complex_190w.pdb,-43.6742,-15.3344,-206.338,4.49774,-217.17466,Terminal Fold2,668631-terminal_fold2
505,complex_31w.pdb,-51.8718,-20.9456,-161.98,4.56964,-178.35595999999998,Terminal Fold2,668631-terminal_fold2
506,complex_197w.pdb,-39.6261,-9.9399,-461.54,3.94253,-467.53737000000007,Terminal Fold2,668631-terminal_fold2
507,complex_102w.pdb,-58.65,-13.9553,-312.994,4.54156,-322.40774000000005,Terminal Fold2,668631-terminal_fold2
508,complex_83w.pdb,-58.1171,-8.42023,-504.269,4.99866,-507.69057,Terminal Fold2,668631-terminal_fold2
509,complex_39w.pdb,-26.4701,-18.7602,-65.425,3.32559,-80.85960999999999,Terminal Fold2,668631-terminal_fold2
510,complex_172w.pdb,-38.3174,-16.8186,-201.727,5.35456,-213.19104000000002,Terminal Fold2,668631-terminal_fold2
511,complex_74w.pdb,-43.3454,-12.3487,-121.17,4.48079,-129.03790999999998,Terminal Fold2,668631-terminal_fold2
512,complex_101w.pdb,-42.5415,-5.6049,-487.431,2.63547,-490.40043,Terminal Fold2,668631-terminal_fold2
513,complex_137w.pdb,-34.0374,-19.0606,-208.572,4.78699,-222.84561,Terminal Fold2,668631-terminal_fold2
514,complex_60w.pdb,-53.3049,-10.8837,-413.825,4.51622,-420.19248,Terminal Fold2,668631-terminal_fold2
515,complex_143w.pdb,-43.3732,-10.667,-242.985,3.44054,-250.21146000000002,Terminal Fold2,668631-terminal_fold2
516,complex_170w.pdb,-48.253,-18.5546,-182.749,5.24367,-196.05992999999998,Terminal Fold2,668631-terminal_fold2
517,complex_114w.pdb,-44.6929,-14.4967,-201.613,4.02047,-212.08923000000001,Terminal Fold2,668631-terminal_fold2
518,complex_50w.pdb,-49.6788,-18.7368,-256.253,3.11372,-271.87608,Terminal Fold2,668631-terminal_fold2
519,complex_123w.pdb,-56.2097,-11.0823,-362.312,4.89339,-368.50091,Terminal Fold2,668631-terminal_fold2
520,complex_69w.pdb,-41.7121,-14.2444,-445.672,4.88295,-455.03345,Terminal Fold2,668631-terminal_fold2
521,complex_186w.pdb,-55.9523,-18.5685,-231.066,5.592,-244.0425,Terminal Fold2,668631-terminal_fold2
522,complex_71w.pdb,-57.0688,-20.3589,-227.029,5.59207,-241.79583,Terminal Fold2,668631-terminal_fold2
523,complex_109w.pdb,-37.7666,-10.275,-154.355,4.8513,-159.7787,Terminal Fold2,668631-terminal_fold2
524,complex_54w.pdb,-58.4235,-19.6945,-65.8207,3.95561,-81.55959000000001,Terminal Fold2,668631-terminal_fold2
525,complex_105w.pdb,-60.0852,-16.2496,-370.786,3.81503,-383.22057,Terminal Fold2,668631-terminal_fold2
526,complex_149w.pdb,-59.6713,-2.56171,-437.71,3.46021,-436.81149999999997,Terminal Fold2,668631-terminal_fold2
527,complex_140w.pdb,-32.3745,-3.32134,-158.426,4.32766,-157.41967999999997,Terminal Fold2,668631-terminal_fold2
528,complex_200w.pdb,-35.8696,-10.9107,-88.9021,3.39835,-96.41445000000002,Terminal Fold2,668631-terminal_fold2
529,complex_179w.pdb,-33.7071,-12.5524,-321.957,5.56957,-328.93983,Terminal Fold2,668631-terminal_fold2
530,complex_162w.pdb,-45.8015,-3.15575,-308.263,3.27063,-308.14812,Terminal Fold2,668631-terminal_fold2
531,complex_159w.pdb,-49.4053,-18.2042,-473.27,5.19858,-486.27562,Terminal Fold2,668631-terminal_fold2
532,complex_183w.pdb,-40.5962,-16.6075,-276.486,3.18731,-289.90619,Terminal Fold2,668631-terminal_fold2
533,complex_126w.pdb,-38.8498,-11.3959,-105.427,3.63456,-113.18834000000001,Terminal Fold2,668631-terminal_fold2
534,complex_120w.pdb,-52.918,-13.3067,-242.193,3.63315,-251.86655000000002,Terminal Fold2,668631-terminal_fold2
535,complex_63w.pdb,-43.1387,-18.3928,-71.5388,4.06369,-85.86791000000001,Terminal Fold2,668631-terminal_fold2
536,complex_15w.pdb,-50.0165,-3.02196,-342.347,5.01506,-340.35389999999995,Terminal Fold2,668631-terminal_fold2
537,complex_176w.pdb,-46.3832,-0.20776,-463.976,4.48079,-459.70297,Terminal Fold2,668631-terminal_fold2
538,complex_25w.pdb,-40.5076,-10.5177,-247.382,5.2235,-252.6762,Terminal Fold2,668631-terminal_fold2
539,complex_52w.pdb,-48.0227,-15.7526,-115.31,1.95867,-129.10393,Terminal Fold2,668631-terminal_fold2
540,complex_91w.pdb,-28.5139,-12.6808,-61.9555,4.52977,-70.10653,Terminal Fold2,668631-terminal_fold2
541,complex_59w.pdb,-55.2829,-10.3593,-335.353,4.8401,-340.8722,Terminal Fold2,668631-terminal_fold2
542,complex_151w.pdb,-49.3658,-18.4767,-273.897,3.83448,-288.53922,Terminal Fold2,668631-terminal_fold2
543,complex_86w.pdb,-35.164,-14.1053,-150.031,3.10432,-161.03198,Terminal Fold2,668631-terminal_fold2
544,complex_198w.pdb,-46.2388,-16.5972,-136.656,5.53391,-147.71929,Terminal Fold2,668631-terminal_fold2
545,complex_192w.pdb,-45.3225,-5.8553,-354.747,4.98967,-355.61263,Terminal Fold2,668631-terminal_fold2
546,complex_148w.pdb,-49.2154,-0.777127,-328.715,3.59379,-325.89833699999997,Terminal Fold2,668631-terminal_fold2
547,complex_195w.pdb,-53.4391,-20.1931,-266.622,3.52185,-283.29325000000006,Terminal Fold2,668631-terminal_fold2
